   -766     298   -2895    -1442    1714    2452    -1423     395    -143
   -832     159   -2849     -492   -1813    8303    -1248     681    -103
   -832     159   -2849    -1007   -1123    9996      -48    -380     311
   -832     159   -2849     3100   -2455    2001     1063    -408     295
   -832     159   -2849     1910    -221   -1852      509     -12    -199
   -772     234   -2872      364    -778    5339     -823     525    -637
   -772     234   -2872     -794    -574    8217     -244      45    -258
   -772     234   -2872      530    -838    4747      447    -290     227
   -772     234   -2872     1923   -1118    1428      407    -308      21
   -755     322   -2870      964    -400    1712      -26     177    -114
   -755     322   -2870      682     422     405     -332    1130     326
   -755     322   -2870      734   -2414    5333     -577    1476     -18
   -755     322   -2870    -2257   -1936   10604      524     293    -301
   -467     421   -2939    -2278    1078    7690     2136    -141     807
   -467     421   -2939     1028     324   -1436     2229    -236    1208
   -467     421   -2939     2335   -2063   -3812      -84    1137      34
   -467     421   -2939       34   -1697    3246    -2043    1329   -1043
   -314     109   -2855    -5087     856   10572     -805     258    -540
   -314     109   -2855    -4394    1898    9285      450     231    1013
   -314     109   -2855      410   -1376    1450      889     102    1279
   -314     109   -2855     3426   -3576    -615      -11     278      72
   -121     162   -2926     1911   -3254     483     -340     478   -1017
   -121     162   -2926    -5086     708    9069     -577    -410    -993
   -121     162   -2926    -4613    1927    8509      694     412     712
   -121     162   -2926    -1837     776    4791     1217    -384    1217
      9     189   -2853     4746   -4195   -2806      -64    -116     240
      9     189   -2853     4593   -5911    2263     -266    -319   -1911
      9     189   -2853    -2663     891    6764      373    -654   -1748
      9     189   -2853    -5248    4012    8933      632    -637    -264
   -123     141   -2874    -3062    2395    6748      947   -1118     772
   -123     141   -2874     2780   -2406    -369      204   -1163     781
   -123     141   -2874     3344   -3312    -171       -4    -598    -712
   -123     141   -2874     -131    -217    1551     -570     487    -712
   -417     -20   -2901    -2584     714    8279      -94     609     -12
   -417     -20   -2901    -2463    1793    7069     1218     -27     461
   -417     -20   -2901     -300    1060    3487      490    -478     945
   -417     -20   -2901     5152   -4944     236     -640     300    -172
   -312    -173   -2821     3946   -4360    2440     -803     585   -1485
   -312    -173   -2821    -2876    1510    8062      -70    -282   -1345
   -312    -173   -2821    -3658    3328    8012      621    -977      54
   -312    -173   -2821    -1383    1457    4322      741   -1093     799
   -249     -91   -2883     2051   -1677    1699      322    -901     566
   -249     -91   -2883     2391   -1901    -277       50     124    -123
   -249     -91   -2883     1920   -2798    1658    -1132    1626    -658
   -249     -91   -2883    -2511    1081    9130     -242     583    -714
   -196      28   -2872    -3596    3688    7440      605    -511     610
   -196      28   -2872      227    -395    2788      -67    -695     859
   -196      28   -2872     3671   -4259    2435     -284    -229     -25
   -196      28   -2872     1522   -1814    3785      133    -197    -740
   -271     -48   -2850    -1058    1052    1741      292     274    -409
   -271     -48   -2850     -991    -265    3620     -495    1076      46
   -271     -48   -2850     -885    -187    6111       92     511    -243
   -271     -48   -2850     -862     660    6054      267      31     141
    -24     -39   -2865      870    -602    4210      349    -406     266
    -24     -39   -2865     2451   -1793    1396      130       8    -218
    -24     -39   -2865      445    -742    4636     -272     448    -573
